run,operation,started,time,status,label,Eval/log_likelihood,Eval/rmse,Eval/calibr_error,Loss/train,Loss/train_NP,meta_learner,covar_module,mean_module,n_samples_per_task,n_train_tasks,n_test_context_samples,num_iter_fit,Eval/loss,context_mask,dataset,kernel_nn_layers,lr_decay,lr_params,mean_nn_layers,random_seed,task_batch_size,weight_decay,step
219ffa59,1D:train-np,2020-09-17 17:19:15,0:01:27,completed,cauchy_np,-0.06358382850885391,0.19102460145950317,0.16867683827877045,,0.7483316659927368,conditional_neural_process,,,20,20,5,5000,16421.03515625,,,,,,,,,,
ec532449,1D:train-meta-gpr,2020-09-17 17:18:55,0:01:48,completed,cauchy_gp,0.5855901837348938,0.1666509062051773,0.14475996792316437,-0.5473830699920654,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",23,4,0.001,5000
4eba9ef4,1D:train-np,2020-09-17 17:17:48,0:01:25,completed,cauchy_np,-0.008899504318833351,0.1952957659959793,0.15923890471458435,,0.5266170501708984,conditional_neural_process,,,20,20,5,5000,10350.212890625,,,,,,,,,,
dadaf062,1D:train-meta-gpr,2020-09-17 17:17:06,0:01:46,completed,cauchy_gp,0.5499147176742554,0.16367244720458984,0.14219407737255096,-1.0768253803253174,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",22,4,0.001,5000
bcd4fd7c,1D:train-np,2020-09-17 17:16:18,0:01:28,completed,cauchy_np,-0.22645531594753265,0.2024092972278595,0.1794440746307373,,0.8362314105033875,conditional_neural_process,,,20,20,5,5000,17790.87890625,,,,,,,,,,
b56c5c29,1D:train-meta-gpr,2020-09-17 17:15:14,0:01:50,completed,cauchy_gp,0.589118242263794,0.16463690996170044,0.14498355984687805,-0.34112444519996643,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
6e131e02,1D:train-np,2020-09-17 17:14:51,0:01:24,completed,cauchy_np,-0.02597135491669178,0.18919339776039124,0.16611026227474213,,1.8066325187683105,conditional_neural_process,,,20,20,5,5000,10282.2490234375,,,,,,,,,,
7aa8994f,1D:train-meta-gpr,2020-09-17 17:13:51,0:01:20,completed,cauchy_gp,0.5803906321525574,0.3327118158340454,0.14299790561199188,1.3112984895706177,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",29,4,0.001,5000
62bcd865,1D:train-np,2020-09-17 17:13:25,0:01:24,completed,cauchy_np,-0.15836742520332336,0.19279827177524567,0.1737004518508911,,-0.2558496594429016,conditional_neural_process,,,20,20,5,5000,11653.9111328125,,,,,,,,,,
31bade26,1D:train-meta-gpr,2020-09-17 17:12:27,0:01:22,completed,cauchy_gp,0.579733669757843,0.33259519934654236,0.14265358448028564,0.9670592546463013,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",28,4,0.001,5000
c3b87c83,1D:train-np,2020-09-17 17:11:53,0:01:29,completed,cauchy_np,-0.10760457813739777,0.19056963920593262,0.16985750198364258,,1.157487392425537,conditional_neural_process,,,20,20,5,5000,16715.556640625,,,,,,,,,,
a21c226a,1D:train-meta-gpr,2020-09-17 17:11:05,0:01:19,completed,cauchy_gp,0.5807545185089111,0.3326188325881958,0.14290623366832733,0.9782053232192993,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",27,4,0.001,5000
ddae32ed,1D:train-np,2020-09-17 17:10:21,0:01:29,completed,cauchy_np,0.023625444620847702,0.2060435563325882,0.16252745687961578,,0.8674449920654297,conditional_neural_process,,,20,20,5,5000,9400.486328125,,,,,,,,,,
ef8f1817,1D:train-meta-gpr,2020-09-17 17:09:42,0:01:20,completed,cauchy_gp,0.5800915956497192,0.33260083198547363,0.14280876517295837,0.9817483425140381,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",26,4,0.001,5000
3d14914f,1D:train-meta-gpr,2020-09-17 17:08:20,0:01:20,completed,cauchy_gp,0.5796950459480286,0.33271661400794983,0.14299742877483368,1.0874361991882324,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",25,4,0.001,5000
46731bab,1D:train-np,2020-09-17 17:08:00,0:02:18,completed,cauchy_np,-0.12021328508853912,0.2048209011554718,0.18451857566833496,,0.10087807476520538,neural_process,,,20,20,5,5000,18859.537109375,,,,,,,,,,
b7ba3b8f,1D:train-meta-gpr,2020-09-17 17:06:58,0:01:19,completed,cauchy_gp,0.5794141888618469,0.3326004147529602,0.1425958126783371,0.8739719986915588,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",24,4,0.001,5000
c09a9a9d,1D:train-np,2020-09-17 17:05:42,0:02:16,completed,cauchy_np,-0.07200136035680771,0.19909821450710297,0.16403387486934662,,0.48006418347358704,neural_process,,,20,20,5,5000,36950.5625,,,,,,,,,,
506b07ec,1D:train-meta-gpr,2020-09-17 17:05:35,0:01:20,completed,cauchy_gp,0.5801559686660767,0.3327637016773224,0.14296266436576843,0.905651330947876,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",23,4,0.001,5000
5862972f,1D:train-meta-gpr,2020-09-17 17:04:14,0:01:19,completed,cauchy_gp,0.5802623629570007,0.3326699733734131,0.14288212358951569,0.8995476961135864,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",22,4,0.001,5000
5448841c,1D:train-np,2020-09-17 17:03:14,0:02:25,completed,cauchy_np,0.02485167235136032,0.19658499956130981,0.16353662312030792,,0.7756559252738953,neural_process,,,20,20,5,5000,13916.13671875,,,,,,,,,,
7e023da1,1D:train-meta-gpr,2020-09-17 17:02:51,0:01:21,completed,cauchy_gp,0.5797824263572693,0.3327640891075134,0.14282870292663574,1.076019525527954,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
75fabd56,1D:train-meta-gpr,2020-09-17 17:01:16,0:01:32,completed,cauchy_gp,0.8651930689811707,0.14763516187667847,0.1360621601343155,-0.5841095447540283,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",29,4,0.001,5000
f05f0fa3,1D:train-np,2020-09-17 17:00:58,0:02:13,completed,cauchy_np,-0.22506313025951385,0.21386657655239105,0.17507889866828918,,0.2652665376663208,neural_process,,,20,20,5,5000,18973.4140625,,,,,,,,,,
34cdb781,1D:train-meta-gpr,2020-09-17 16:59:43,0:01:30,completed,cauchy_gp,0.8644309639930725,0.14955966174602509,0.13687273859977722,-0.9579645991325378,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",28,4,0.001,5000
ad639ae7,1D:train-np,2020-09-17 16:58:36,0:02:20,completed,cauchy_np,-0.0517377108335495,0.19411909580230713,0.1655043214559555,,0.11861690878868103,neural_process,,,20,20,5,5000,14863.1005859375,,,,,,,,,,
37fde8f9,1D:train-meta-gpr,2020-09-17 16:58:10,0:01:31,completed,cauchy_gp,0.8632892966270447,0.14927849173545837,0.1355690360069275,-0.8302665948867798,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",27,4,0.001,5000
15dcdcab,1D:train-meta-gpr,2020-09-17 16:56:35,0:01:32,completed,cauchy_gp,0.8652324080467224,0.14804013073444366,0.136143296957016,-0.8217708468437195,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",26,4,0.001,5000
cd3c2d61,1D:train-np,2020-09-17 16:56:07,0:02:26,completed,cauchy_np,-0.07756076008081436,0.22513841092586517,0.20033396780490875,,1.693483829498291,neural_process,,,20,20,5,5000,9864.8095703125,,,,,,,,,,
5df825ae,1D:train-meta-gpr,2020-09-17 16:55:01,0:01:32,completed,cauchy_gp,0.8520382046699524,0.15193387866020203,0.13643406331539154,-0.6918051242828369,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",25,4,0.001,5000
8249eb59,1D:train-np,2020-09-17 16:53:39,0:02:25,completed,cauchy_np,-0.08701092004776001,0.19608178734779358,0.17037078738212585,,0.2325393706560135,neural_process,,,20,20,5,5000,12069.2822265625,,,,,,,,,,
7e778f0b,1D:train-meta-gpr,2020-09-17 16:53:27,0:01:31,completed,cauchy_gp,0.8681809902191162,0.15061511099338531,0.13531100749969482,-0.8294388651847839,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",24,4,0.001,5000
118471a7,1D:train-meta-gpr,2020-09-17 16:51:51,0:01:33,completed,cauchy_gp,0.8665305376052856,0.15091362595558167,0.13599245250225067,-0.885262131690979,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",23,4,0.001,5000
63bbb756,1D:train-np,2020-09-17 16:51:09,0:02:28,completed,cauchy_np,-0.1904923915863037,0.19424572587013245,0.18007078766822815,,1.22359299659729,neural_process,,,20,20,5,5000,28209.240234375,,,,,,,,,,
e5a62999,1D:train-meta-gpr,2020-09-17 16:50:17,0:01:31,completed,cauchy_gp,0.8602033257484436,0.15115925669670105,0.13706067204475403,-0.9792169332504272,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",22,4,0.001,5000
48e71040,1D:train-np,2020-09-17 16:48:45,0:02:22,completed,cauchy_np,0.08694101125001907,0.1979849934577942,0.15628643333911896,,0.9857935309410095,neural_process,,,20,20,5,5000,16731.697265625,,,,,,,,,,
231a6886,1D:train-meta-gpr,2020-09-17 16:48:42,0:01:32,completed,cauchy_gp,0.8630484938621521,0.15102200210094452,0.13831719756126404,-0.558280348777771,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
f7005d41,1D:train-meta-gpr,2020-09-17 13:03:36,0:01:54,completed,cauchy_gp,0.4234143793582916,0.25853532552719116,0.15290865302085876,0.38531216979026794,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",20,4,0.001,5000
314e5f78,1D:train-np,2020-09-17 13:03:01,0:02:41,completed,cauchy_np,-0.25710564851760864,0.20421673357486725,0.16933096945285797,,-0.7931331992149353,attentive_neural_process,,,20,20,5,5000,6812.14208984375,,,,,,,,,,
9e2a55dc,1D:train-meta-gpr,2020-09-17 13:01:32,0:02:02,completed,cauchy_gp,0.5657238960266113,0.16339260339736938,0.14524959027767181,-0.8408277034759521,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",20,4,0.001,5000
899bcdb7,1D:train-np,2020-09-17 13:01:11,0:01:48,completed,cauchy_np,-0.09830852597951889,0.18880897760391235,0.16666065156459808,,-0.6622334122657776,attentive_conditional_neural_process,,,20,20,5,5000,8496.6826171875,,,,,,,,,,
b7467fab,1D:train-meta-gpr,2020-09-17 13:00:01,0:01:29,completed,cauchy_gp,0.5806167721748352,0.33296075463294983,0.14311201870441437,1.7112398147583008,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",20,4,0.001,5000
7bd7442f,1D:train-np,2020-09-17 12:59:53,0:01:16,completed,cauchy_np,-0.17328903079032898,0.1980748027563095,0.17968721687793732,,0.1855143904685974,conditional_neural_process,,,20,20,5,5000,19714.794921875,,,,,,,,,,
26640292,1D:train-np,2020-09-17 12:57:45,0:02:06,completed,cauchy_np,-0.05673142150044441,0.19607630372047424,0.16334834694862366,,0.4921923875808716,neural_process,,,20,20,5,5000,18678.5,,,,,,,,,,
6e27dfb4,1D:train-meta-gpr,2020-09-17 12:57:38,0:02:21,completed,cauchy_gp,0.8662298917770386,0.14772172272205353,0.13493598997592926,-0.4930221438407898,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",20,4,0.001,5000
